labels	text	clf
O O O O O O B_ORG I_ORG O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O	В понедельник 28 июня у здания мэрии Москвы на Тверской площади состоялась очередная несанкционированная акция протеста « День гнева » , в этот раз направленная , главным образом , против политики московских и подмосковных властей	False
O O O O O O O O O O O B_LOC B_PER I_PER O O O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O B_LOC O O O O O B_ORG O O O B_LOC O B_PER I_PER O O	Среди требований , выдвигаемых организаторами акции : « немедленная отставка мэра Москвы Юрия Лужкова , расследование итогов его деятельности » , « созыв московского общественного форума для обсуждения путей реформирования основных сфер жизнедеятельности в Москве » , « восстановление прямых выборов глав регионов России » , « роспуск нелегитимной Мосгордумы » , отставка подмосковного губернатора Бориса Громова и др	False
O O O O O O O O O O O O O O O O O O O O B_PER I_PER	Участникам акции предлагалось принести с собой лист бумаги или кусок ткани чёрного цвета , символизирующие « чёрную метку » для Юрия Лужкова	False
O O O O O O O O O O O O O O O O O	Начало акции было намечено на 19 часов ; подчёркивалось , что она состоится несмотря на запрет властей	True
O O O O O O O O O O O O O B_LOC I_LOC I_LOC O O O O O O O O O O O	Освещающие акцию блоггеры сообщили , что автобусы с милицией стали занимать площадь у памятника Юрию Долгорукому ещё с 15 часов дня , центральная часть площади была огорожена	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Ко времени начала акции вокруг огороженной территории собралось множество журналистов и прохожих , по мере прибытия самих участников акции милиция начала планомерно их задерживать и заталкивать в автобусы	True
O O O O O O O O O O O O O	Всего , по сообщениям блоггеров и СМИ , было задержано более 30 человек	True
O O B_PER O O O O O O O B_ORG I_ORG I_ORG I_ORG O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG B_PER I_PER O O O B_PER I_PER O O B_ORG I_ORG I_ORG I_ORG I_ORG B_PER I_PER	Пользователь ЖЖ zyalt сообщает , что среди задержанных оказался депутат муниципального собрания района Отрадное , сопредседатель московского отделения движения « Солидарность » Михаил Вельмакин , известный правозащитник Лев Пономарев , координатор движения « Левый фронт » Сергей Удальцов	False
O O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG O B_ORG O O B_ORG I_ORG I_ORG I_ORG I_ORG O O B_ORG I_ORG O O B_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG I_ORG O O B_ORG I_ORG I_ORG I_ORG O	Организаторами акции выступили движение « За права человека » , Союз координационных советов ( СКС ) , институт « Коллективное действие » , « Жилищная солидарность » , Движение общежитий Москвы , Движение в защиту Химкинского леса , движение « Московский совет » , « Координационный совет пострадавших соинвесторов »	False
O O O O O O O O B_PER I_PER O O O O O O O O O O O O O O	Конец света , который предрекал проповедник - евангелист Герольд Кемпинг утром в 06.00 по московскому времени 21 мая 2011 года так и не наступил	False
O O O O O O O	Это далеко не первое несбывшееся предсказание апокалипсиса	True
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Поначалу на него практически не обратили внимания , однако , с приближением этой даты , немало СМИ в поисках сюжета , останавливались на этом , создавая прекрасную бесплатную PR-компанию для горе-пророка	True
O O O O B_PER I_PER O O O O O O O O O O O O O O O O O O O O	Вполне вероятно , что Герольд Кемпинг объяснит это какой-либо неточностью и перенесет катастрофу на некоторое время вперёд , и по прежнему будет оставаться в центре внимания	False
O O O O O O O O O O O B_LOC O O O B_PER I_PER	Так , согласно его пророчествам , 6 сентября 1994 года на Землю должен был опуститься Иисус Христос	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Следующее подобное мероприятие , по прогнозам майя , ожидается 21 декабря 2012 года , однако не следует забывать , что конец этой цивилизации наступил значительно раньше , и это отчего-то не отображено в их наследии , поэтому и достоверность подобного прорицания далеко не очевидна	True
O O O O O O O O O O O O	Если - же и майя ошиблись , то расслабляться всё-равно не стоит	True
O O O O O O O O O O O O B_LOC O O O	Апокалиптических теорий ещё достаточно : * 2021 год — инверсия магнитного поля Земли уничтожит часть человечества	False
O O O O O O B_PER I_PER O O O O O O O O B_PER O O O O	* 2060 год — Согласно расчётам Исаака Ньютона , сделанным в 1704 году по библейской книге Даниила станет последним для людей	False
O O O O O O B_LOC O O O O O O O O O O O B_PER I_PER O B_PER O B_PER I_PER	* 2242 год — конец эпохи Солнца согласно теории смены планетных эпох , которая была изложена в работах ибн Эзра , Авраама и Абу Машара	False
O O O O O O B_PER	* 2892 год — апокалипсис обещанный Авелем	False
O O O O O O O O B_PER	* 3797 год — кончину миру предрёк сам Нострадамус	False
B_ORG I_ORG I_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O O O O O O O O O O O O O O O O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O O O O O B_LOC O B_LOC	Промышленный и коммерческий банк Китая ( Industrial and Commercial Bank of China ) , по некоторым показателям — крупнейший банк мира , подписал соглашение о покупке контрольной доли в американском отделении Bank of East Asia , управляющим 13-ю филиалами в Калифорнии и Нью-Йорке	False
O O O O O O O O B_ORG I_ORG I_ORG I_ORG O O O O O	За 80 процентов акций этой финансовой структуры , подконтрольный китайскому правительству банк заплатит около 100 млн долларов	False
O O O O O O O B_LOC O O O O O O B_LOC B_PER I_PER O B_LOC	Соглашение было подписано в минувшую пятницу в Чикаго , в последний день визита председателя КНР Ху Цзиньтао в США	False
O O O O O O O O O O O O O O O O	Сделка ожидает утверждения американскими регулирующими органами , что может задержать ее завершение до конца этого года	True
O B_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O O O	Доля правительства Китая в Industrial and Commercial Bank of China составляет 70 процентов	False
O O O O O O B_ORG I_ORG I_ORG O O O O O O O O O	Если сделка будет утверждена , то государственный китайский банк впервые в истории получит контроль над американским финансовым учреждением	False
O O O O O O O O O O O O O O O O O O	Американцы смогут делать вклады в его филиалах , а инвесторы смогут открывать счета и играть на курсе юаня	True
O O O O O O B_LOC O O O O O O O O O O O	За последние годы размеры иностранных инвестиций Китая резко увеличились , однако расширение китайских финансовых учреждений проходило гораздо медленнее	False
O O O O O O B_LOC B_PER I_PER O O O O O O O O O O O O O O O	При подписании нового соглашения министр торговли Китая Чэнь Дэмин заявил , что одним из приоритетов является перевод огромных резервов иностранной валюты в зарубежные активы	False
B_PER I_PER O O B_LOC I_LOC O O O B_PER I_PER	Барак Обама принимает в Белом доме своего французского коллегу Николя Саркози	False
O O O O O B_LOC O O B_LOC O O O O O B_ORG I_ORG O O O O O O O O O O O O O O	Как было объявлено , президент Франции прибыл в Вашингтон , чтобы обсудить с главой администрации США ряд насущных проблем , главное место среди которых занимает состояние мировой экономики и безопасность	False
O O O O O O O O O O O B_ORG O B_LOC O O O B_LOC O O O O B_LOC I_LOC	В частности , лидеры намерены обменяться мнениями о перспективах военных действий НАТО в Афганистане , волнениях в Пакистане и угрозах экстремистов в Северной Африке	False
